cons_last_month,has_gas,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,churn,duration
800,0,25.46,25.46,1,67.31,4,17.2,1,1831
0,0,35.59,35.59,1,0.11,6,26.3,0,2192
237044,0,21.24,21.24,1,123.56,6,11.5,0,2192
150,0,197.28,197.28,1,65.99,3,13.15,1,1461
357,1,29.85,29.85,2,48.81,3,16.5,0,1096
0,1,27.32,27.32,3,141.34,5,13.2,0,1827
2741,1,11.7,11.7,2,152.17,3,11.0,0,1461
310,0,28.02,28.02,1,21.61,6,13.856,0,2557
0,0,17.62,17.62,1,86.03,4,12.5,0,1461
0,0,12.82,12.82,1,29.17,6,13.2,0,2557
131,0,37.44,37.44,1,3.28,6,15.001,1,2560
0,0,26.2,26.2,1,50.78,5,15.0,0,2191
5111,0,5.76,5.76,1,527.27,3,17.320999999999998,0,1461
0,1,14.7,14.7,2,194.14,6,13.856,0,2557
65016,1,17.22,17.22,2,165.61,6,10.392,0,2192
7612,0,2.8,2.8,1,294.93,4,10.392,0,1827
6003,0,21.81,21.81,1,454.73,4,13.15,0,1461
2740,0,10.08,10.08,1,98.01,6,10.392,0,2557
0,1,27.32,27.32,3,49.33,5,13.2,0,1827
218019,0,16.66,16.66,1,453.85,6,13.2,0,2192
0,0,15.12,15.12,1,84.58,6,13.2,0,2557
3197,0,40.8,40.8,1,141.86,6,20.4,0,2557
131,0,43.8,43.8,2,18.55,6,12.5,0,2326
29580,0,22.44,22.44,1,83.38,6,13.8,0,2192
0,0,20.54,20.54,1,34.12,6,10.392,0,2557
1477,0,94.2,94.2,1,105.37,12,37.71,0,4383
62,0,26.04,26.04,1,30.35,4,10.392,1,1680
289924,1,24.0,24.0,2,387.56,4,16.0,0,1461
0,0,31.26,31.26,1,0.0,5,17.25,0,1827
0,0,21.38,21.38,1,31.06,6,10.35,0,2192
0,0,19.52,19.52,1,57.34,6,12.5,0,2557
0,0,18.12,18.12,1,88.02,6,10.392,0,2557
4444,1,144.35,144.35,2,606.29,4,43.6,0,1426
0,0,23.4,23.4,1,322.93,3,22.0,0,1096
17616,1,27.32,27.32,2,103.34,6,13.2,0,2192
222684,0,22.95,22.95,1,258.44,6,13.856,0,2192
0,0,16.92,16.92,1,114.66,6,10.392,0,2192
793,0,25.92,25.92,1,0.03,5,10.35,0,2192
1978,0,11.7,11.7,1,141.83,3,11.0,0,1461
1232,0,19.04,19.04,1,87.0,7,13.5,0,2557
0,1,26.04,26.04,3,66.14,6,10.392,0,2191
113655,0,16.66,16.66,4,150.39,6,13.2,0,2192
0,0,9.919999999999993,9.919999999999993,1,75.75,6,13.2,1,2557
8312,0,6.18,6.18,1,448.37,4,13.2,0,1827
41722,0,29.76,29.76,1,316.06,6,13.2,0,2191
0,0,21.52,21.52,1,13.59,6,13.2,0,2192
15417,0,24.18,24.18,1,486.74,4,20.0,0,1461
758,0,37.92,37.92,1,115.27,6,15.2,0,2191
19767,0,3.9,3.9,1,573.85,5,20.785,0,2169
3495,0,11.04,11.04,1,256.06,3,10.39,0,1461
1004,0,36.24,36.24,1,122.45,4,14.49,0,1826
0,1,30.18,30.18,2,204.98,6,25.0,0,2171
0,0,27.44,27.44,1,6.89,6,13.2,0,2556
19042,0,248.64,248.64,1,348.93,3,166.0,0,1095
0,0,23.76,23.76,1,0.15,5,10.392,0,1827
737,0,8.25,8.25,1,215.75,3,43.648,0,1461
1758,0,4.02,4.02,1,319.83,3,21.04,0,1461
0,0,24.4,24.4,1,55.5,4,15.0,1,1461
41439,0,27.14,27.14,1,266.7,4,13.2,0,1461
1669,0,5.52,5.52,1,20.87,3,10.392,0,1492
0,0,37.49,37.49,2,216.27,4,27.713,0,1461
1831,0,47.16,47.16,1,94.62,4,23.1,0,1461
0,1,20.4,20.4,2,264.86,4,26.4,0,1461
0,1,26.04,26.04,3,124.71,6,10.392,0,2224
829,0,28.58,28.58,1,72.98,4,12.5,1,1461
0,0,30.22,30.22,1,38.85,3,13.2,0,1096
1333,0,6.66,6.66,1,52.94,4,12.5,0,1713
0,0,20.43,20.43,1,38.11,4,15.1,0,1461
324,0,83.72,83.72,1,52.44,5,41.05,0,1827
3776,1,23.4,23.4,2,370.77,3,10.392,1,1461
0,0,31.08,31.08,1,270.48,3,13.8,0,1461
397,0,17.1,17.1,1,68.56,5,10.35,0,2192
0,0,21.09,21.09,1,78.3,3,10.392,0,1461
2604,0,11.11,11.11,1,529.11,5,23.1,0,2192
3811,1,31.21,31.21,2,297.97,6,23.1,0,2192
5420,0,8.839999999999991,8.839999999999991,1,544.24,4,18.41,0,1827
455,0,19.2,19.2,1,87.47,4,10.392,0,1461
16526,0,19.0,19.0,1,334.5,4,20.785,0,1461
71,1,29.76,29.76,2,183.22,6,13.2,0,2557
4311,0,8.28,8.28,1,465.3,4,17.32,0,1461
1459,0,54.07,54.07,1,237.79,4,40.0,0,1461
0,0,16.12,16.12,1,65.07,6,10.35,1,2557
340,1,43.32,43.32,2,19.76,5,17.32,0,1826
0,1,20.52,20.52,5,60.62,4,13.2,0,1827
1821,0,20.8,20.8,1,195.52,6,17.2,0,2140
2197,0,20.22,20.22,1,49.96,6,13.0,0,2557
2826,0,13.3,13.3,1,370.58,6,17.25,0,2192
0,0,13.4,13.4,1,79.1,5,13.85,0,1918
0,0,31.2,31.2,1,1049.5,5,13.856,0,1827
747,0,9.919999999999993,9.919999999999993,1,44.74,3,13.2,0,1461
10911,0,0.8999999999999989,0.8999999999999989,1,539.15,3,20.0,0,1461
558120,1,40.62,40.62,2,452.72,4,65.0,0,1729
582,0,21.96,21.96,1,77.69,6,16.5,0,2557
0,1,14.7,14.7,3,479.4,8,13.856,0,3288
577,0,24.62,24.62,1,22.15,6,12.5,0,2557
3499,0,25.02,25.02,1,434.07,5,40.0,0,2192
4127,0,23.4,23.4,1,202.88,5,10.392,0,2224
7762,0,16.59,16.59,1,720.9,11,24.15,0,4018
0,0,28.45,28.45,1,164.29,5,13.85,0,1827
0,0,18.12,18.12,1,53.96,5,10.392,0,2192
1613,1,19.2,19.2,2,118.77,4,10.392,0,1461
46289,0,6.18,6.18,1,843.99,4,13.2,0,1827
0,0,23.4,23.4,1,139.63,6,10.392,0,2557
0,0,8.98,8.98,1,240.21,4,10.392,0,1827
0,0,29.91,29.91,1,139.86,6,16.5,0,2253
0,0,11.84,11.84,1,137.71,6,10.392,0,2557
7385,0,23.4,23.4,1,254.0,9,10.39,0,3597
1119,1,23.76,23.76,5,111.26,6,10.392,0,2192
3086,0,71.88,71.88,1,585.63,4,48.0,0,1827
0,0,22.52,22.52,1,97.16,6,13.856,0,2513
0,0,12.57,12.57,1,9.27,4,13.0,1,1567
3591,0,64.6,64.6,1,285.52,3,45.67,0,1096
0,0,19.5,19.5,1,83.96,4,17.320999999999998,0,1827
164,1,33.12,33.12,3,108.8,7,13.2,0,2556
97730,0,35.81,35.81,1,493.12,4,40.0,0,1461
0,0,16.8,16.8,1,144.28,3,13.856,0,1461
1501,0,19.11,19.11,1,36.74,6,10.35,0,2192
7198,0,7.68,7.68,2,715.66,5,20.5,0,2191
0,1,20.2,20.2,2,160.48,4,13.856,0,1461
693,0,18.72,18.72,1,107.0,4,13.2,0,1827
0,0,23.4,23.4,1,221.92,3,10.39,1,1461
4119,0,17.81,17.81,1,408.29,6,23.1,0,2191
0,0,46.32,46.32,1,30.62,4,13.2,0,1463
0,0,36.48,36.48,1,37.25,4,10.392,1,1484
14500,1,144.46,144.46,3,994.72,6,43.648,0,2435
27016,0,0.0,0.0,1,166.59,5,25.0,0,2195
0,0,21.72,21.72,1,289.86,4,13.1,0,1461
31055,0,26.4,26.4,1,530.1,4,26.4,0,1461
10706,0,27.97,27.97,1,99.23,4,31.17,0,1827
308,1,26.04,26.04,2,38.33,3,10.392,0,1095
352,0,47.64,47.64,1,37.73,8,19.05,0,3288
0,0,27.32,27.32,1,80.72,6,13.2,0,2192
1847,0,14.57,14.57,1,83.69,7,10.35,0,2557
665,0,49.08,49.08,1,109.91,4,43.646,0,1827
19629,0,20.21,20.21,1,802.86,6,22.668000000000003,0,2192
0,0,21.64,21.64,1,35.21,5,10.392,0,2192
0,0,16.92,16.92,1,133.71,4,13.2,0,1827
49692,1,17.82,17.82,2,136.64,5,15.0,0,2192
230,0,49.92,49.92,1,22.86,6,20.0,0,2191
0,0,17.58,17.58,1,77.6,6,14.8,0,2557
1686,1,30.0,30.0,2,146.86,3,15.001,0,1461
1225,1,29.64,29.64,3,188.36,4,13.164,0,1827
98872,0,0.0,0.0,1,3.21,5,10.392,0,2238
0,1,20.16,20.16,2,9.12,6,10.2,0,2557
0,0,14.04,14.04,1,184.35,6,13.2,0,2557
0,0,16.66,16.66,1,675.69,7,13.2,0,2557
327,0,31.32,31.32,1,57.63,4,12.5,0,1827
1865,1,29.76,29.76,2,197.16,6,13.2,0,2557
0,0,39.6,39.6,1,147.31,4,19.8,1,1464
0,0,21.52,21.52,1,103.87,7,13.2,0,2557
139447,1,19.92,19.92,2,232.17,5,16.5,0,1827
1009,0,17.55,17.55,1,151.58,12,16.5,0,4383
1561,0,66.0,66.0,1,59.23,6,26.4,0,2220
1121,0,14.04,14.04,1,146.2,6,13.2,0,2557
15799,0,32.15,32.15,1,458.16,3,36.0,0,1096
0,0,12.36,12.36,1,7.7,3,10.392,0,1461
3383,1,7.72,7.72,2,651.64,6,28.5,0,2557
0,0,11.42,11.42,1,120.6,5,13.2,0,2192
0,1,18.62,18.62,3,30.04,5,13.2,0,1920
1083,0,42.8,42.8,2,60.18,10,15.001,0,3942
936,0,85.2,85.2,1,54.65,4,95.0,0,1854
0,0,0.0,0.0,1,0.0,6,16.0,0,2690
866,1,26.73,26.73,3,42.0,5,13.2,0,2192
2226,0,20.2,20.2,1,120.3,6,13.856,0,2192
1339,0,25.32,25.32,1,28.75,4,10.392,0,1522
345010,1,18.12,18.12,9,198.39,6,19.8,0,2192
1102,0,34.01,34.01,1,28.61,6,15.001,0,2250
386468,1,1.83,1.83,2,565.32,4,27.9,0,1827
0,1,7.62,7.62,2,100.1,3,14.49,0,1461
0,0,10.03,10.03,1,143.43,4,10.35,0,1827
11636,1,27.6,27.6,4,563.7,3,27.713,1,1096
1983,0,22.97,22.97,1,530.56,4,17.0,0,1461
0,1,29.76,29.76,2,277.18,6,13.2,0,2557
1268,0,7.8,7.8,1,15.47,4,10.392,0,1827
0,0,16.12,16.12,1,480.79,12,20.95,0,4383
420,0,25.92,25.92,1,37.07,4,16.4,0,1461
458,0,0.12,0.12,1,282.03,3,13.856,1,1461
0,0,33.12,33.12,1,52.1,3,13.2,1,1461
4771,1,46.56,46.56,2,465.72,5,31.05,0,1826
0,0,13.56,13.56,1,54.67,6,11.4,0,2557
0,0,18.21,18.21,1,39.13,4,10.392,0,1675
0,0,17.67,17.67,1,57.01,6,13.856,0,2557
34895,0,60.36,60.36,1,122.35,6,24.15,0,2191
12967,1,24.0,24.0,2,314.89,3,16.0,0,1062
2214,0,30.78,30.78,1,34.28,6,15.1,0,2192
1980,0,21.09,21.09,1,25.15,3,10.392,0,1461
0,0,35.11,35.11,2,99.22,4,15.0,0,1699
0,1,15.6,15.6,2,104.89,6,11.0,0,2557
63969,1,60.6,60.6,3,942.85,3,17.320999999999998,0,1303
1132,1,0.7200000000000011,0.7200000000000011,3,197.32,3,17.320999999999998,0,1461
13461,0,19.2,19.2,1,336.99,4,13.15,0,1461
0,0,11.24,11.24,1,48.13,3,15.0,0,1452
0,0,12.36,12.36,1,0.0,3,10.392,1,1461
3445,0,13.1,13.1,1,120.12,5,10.392,0,1827
3648,0,33.12,33.12,1,39.51,4,13.2,0,1827
836,1,11.9,11.9,2,128.8,10,17.25,0,4018
2087,0,33.81,33.81,1,280.7,4,25.0,0,1461
1030,0,3.7,3.7,1,134.28,5,13.856,0,2192
0,1,24.42,24.42,3,98.45,6,13.2,0,2192
0,1,6.45,6.45,2,131.79,5,13.85,0,2192
0,0,18.56,18.56,1,79.29,7,11.4,0,2557
508,0,28.02,28.02,1,33.6,6,13.856,0,2557
5142,0,26.04,26.04,1,51.71,5,10.39,1,2197
0,0,11.42,11.42,1,141.76,6,13.2,0,2557
4734,0,18.6,18.6,1,501.39,6,49.5,0,2449
16764,0,8.760000000000009,8.760000000000009,1,552.39,4,26.0,0,1827
1975,0,26.57,26.57,1,120.75,4,25.0,0,1461
2601,0,27.6,27.6,1,69.51,6,11.0,0,2191
0,0,28.45,28.45,1,192.39,4,13.856,1,1461
0,0,29.76,29.76,1,166.78,6,13.2,0,2557
0,0,37.56,37.56,1,31.02,6,15.0,0,2191
3631,0,74.88,74.88,1,321.85,6,50.0,0,2191
3744,0,27.95,27.95,1,565.26,5,20.7,0,1827
2870,0,9.28,9.28,1,293.82,4,13.943,0,1826
3822,0,21.34,21.34,1,174.15,6,10.392,0,2349
3290,0,17.45,17.45,2,189.07,5,13.856,0,2139
0,1,21.66,21.66,3,0.0,5,16.0,0,1827
975,1,30.12,30.12,2,141.41,3,15.1,0,1095
0,1,33.0,33.0,2,167.61,4,16.5,1,1827
32240,0,30.22,30.22,1,22.19,11,13.2,0,4018
68981,1,27.14,27.14,2,577.36,5,13.2,0,1827
85883,1,19.8,19.8,2,815.28,6,19.8,0,2557
9191,1,13.86,13.86,4,1041.25,3,36.95,0,1461
951,1,34.68,34.68,2,27.25,6,13.856,0,2191
507598,1,27.51,27.51,2,883.1,6,40.0,0,2192
0,0,37.56,37.56,1,114.03,6,15.0,0,2191
5923,0,19.48,19.48,1,33.64,4,13.856,0,1461
3722,0,9.45,9.45,1,436.49,6,50.0,0,2557
0,0,25.7,25.7,1,348.77,5,13.856,0,1894
0,0,11.84,11.84,1,71.66,3,10.392,0,1461
637,1,18.18,18.18,2,98.49,4,15.3,1,1827
16453,0,24.42,24.42,1,82.34,6,13.2,0,2192
4577,0,12.54,12.54,1,484.93,10,20.0,0,4018
0,0,26.73,26.73,1,41.78,6,13.2,0,2557
359,0,33.12,33.12,1,72.29,3,13.2,0,1095
42971,0,17.45,17.45,1,186.35,6,13.856,0,2192
5024,0,2.1,2.1,1,544.66,6,33.0,0,2557
0,0,182.28,182.28,1,0.0,6,73.0,0,2557
0,0,16.06,16.06,1,105.87,5,11.4,0,1827
7376,0,77.11,77.11,1,313.39,4,100.0,0,1794
555,0,31.32,31.32,1,78.01,3,19.8,0,1096
7102,0,41.22,41.22,1,639.7,4,60.0,0,1461
3396,0,59.88,59.88,1,161.67,5,30.0,1,2192
981,0,19.42,19.42,1,66.83,4,12.5,0,1827
83678,0,21.64,21.64,1,7.73,3,10.392,0,1460
2070,0,9.94,9.94,1,271.91,4,20.785,0,1827
26057,0,22.77,22.77,1,58.86,6,13.8,0,2557
0,0,26.02,26.02,1,4.48,6,13.2,0,2557
0,0,37.56,37.56,1,72.96,6,15.0,0,2557
0,1,7.6,7.6,3,137.56,4,11.4,0,1827
2294,0,49.44,49.44,1,321.18,8,33.0,0,2922
20,0,39.12,39.12,1,2.32,3,34.8,0,1461
240,1,41.64,41.64,2,280.38,4,13.856,0,1480
0,0,12.72,12.72,1,53.2,3,13.15,0,1482
0,0,31.2,31.2,1,81.12,5,19.7,1,1827
0,0,33.12,33.12,1,50.67,4,13.2,0,1827
0,1,109.08,109.08,2,74.15,4,43.648,0,1833
2381,0,0.859999999999999,0.859999999999999,1,337.38,4,19.03,0,1827
312,1,12.82,12.82,4,26.21,5,13.2,0,2192
456,0,26.97,26.97,1,40.5,3,13.3,0,1461
386468,1,66.72,66.72,2,0.0,4,34.5,0,1827
975,0,18.62,18.62,1,61.46,4,13.2,0,1461
2513,0,12.18,12.18,1,313.29,3,19.5,0,1461
10666,1,9.32,9.32,3,339.34,8,28.0,0,3036
5469,0,18.55,18.55,1,330.4,6,24.0,0,2192
0,0,31.53,31.53,1,15.33,6,13.8,1,2246
0,0,13.1,13.1,1,77.31,6,10.392,0,2501
980,0,33.0,33.0,1,112.92,3,16.5,0,1095
706,0,26.2,26.2,1,58.3,6,15.0,0,2557
30046,0,16.92,16.92,1,67.37,5,10.392,0,1827
892,0,13.12,13.12,2,94.49,6,13.5,0,2557
10263,0,4.04,4.04,1,354.72,6,15.0,0,2557
0,0,12.36,12.36,1,31.54,6,10.392,0,2557
0,0,21.09,21.09,1,42.98,5,10.392,0,2192
1305,0,24.78,24.78,1,93.66,3,15.0,0,1461
0,0,3.84,3.84,1,112.94,6,14.49,0,2557
0,0,17.67,17.67,1,113.69,5,13.856,0,2192
805,0,27.6,27.6,1,45.42,3,15.22,0,1357
0,0,16.44,16.44,1,8.99,4,13.856,0,1827
311,1,34.68,34.68,3,27.08,3,13.856,0,1089
0,0,21.58,21.58,1,39.16,5,13.856,0,2192
0,0,11.95,11.95,1,630.09,4,13.856,0,1827
0,0,23.76,23.76,1,47.75,6,10.39,0,2192
895,0,22.17,22.17,1,92.62,3,16.4,0,1096
3003,1,19.28,19.28,3,101.9,6,10.392,0,2192
0,0,27.14,27.14,1,1598.33,7,13.2,1,2557
0,0,15.72,15.72,1,0.0,6,13.2,0,2557
142,0,12.82,12.82,1,21.58,6,13.2,0,2557
1671,0,31.92,31.92,1,206.65,4,17.0,0,1461
0,1,30.22,30.22,4,50.88,4,13.2,0,1461
181187,1,3.84,3.84,2,145.87,6,14.5,0,2511
0,0,15.78,15.78,1,99.56,4,13.856,0,1827
1085,0,25.96,25.96,1,158.69,4,20.785,0,1461
1062,0,38.58,38.58,2,81.61,3,13.856,0,1165
0,0,24.42,24.42,1,110.18,5,13.2,0,1827
3311,0,9.2,9.2,1,110.71,6,13.856,0,2557
0,0,20.42,20.42,1,20.5,4,10.35,0,1827
0,0,20.34,20.34,1,34.42,4,11.0,1,1461
4111,1,10.52,10.52,2,425.36,5,31.5,0,2192
2000,1,24.24,24.24,2,142.86,5,13.15,0,1827
2720,0,31.08,31.08,1,268.42,5,20.785,0,2192
970,0,3.7,3.7,1,216.5,5,13.856,0,2192
409,0,30.75,30.75,1,61.27,5,13.856,0,2117
0,0,7.8,7.8,1,40.03,4,10.392,0,1827
68400,0,24.2,24.2,1,575.5,6,41.5,0,2192
0,0,14.7,14.7,1,128.55,6,13.856,0,2557
554,0,15.6,15.6,1,93.21,5,13.15,0,2192
0,0,33.12,33.12,1,151.6,5,13.2,0,1826
0,0,11.55,11.55,1,317.14,3,24.15,0,1461
0,0,34.68,34.68,1,98.43,6,13.856,0,2191
0,0,12.36,12.36,1,110.35,3,10.392,0,1461
41541,0,19.28,19.28,1,169.42,6,13.2,1,2192
334,0,28.6,28.6,1,56.44,4,13.85,0,1461
0,1,20.52,20.52,2,68.36,4,13.2,0,1827
3472,1,47.16,47.16,2,538.3,4,31.5,0,1461
572,0,45.12,45.12,2,65.12,4,13.856,0,1794
473,0,36.3,36.3,1,42.33,6,16.0,0,2192
5771,1,29.76,29.76,2,308.97,5,13.2,0,2192
0,0,30.22,30.22,1,36.51,4,13.2,0,1461
0,0,24.52,24.52,1,148.45,4,13.2,0,1461
1906,0,3.72,3.72,1,402.28,4,19.8,0,1827
0,1,7.32,7.32,4,62.7,5,13.856,0,2128
1465,0,8.28,8.28,1,125.4,6,16.5,0,2557
2800,0,30.0,30.0,1,122.88,4,13.15,0,1461
46,1,10.03,10.03,3,18.73,3,10.35,0,1461
1657,1,21.78,21.78,3,86.79,6,13.2,0,2557
222684,0,22.95,22.95,1,376.18,6,13.856,0,2192
674,0,26.4,26.4,1,103.71,5,19.8,0,2192
289924,1,42.48,42.48,2,67.48,4,17.0,0,1461
5304,1,36.2,36.2,2,572.06,4,62.0,0,1461
60696,0,3.69,3.69,1,279.72,6,19.722,0,2557
0,0,6.96,6.96,1,62.88,3,13.15,0,1496
0,0,36.64,36.64,1,240.99,8,40.0,0,2922
0,0,29.76,29.76,2,329.76,4,13.2,1,1501
0,0,15.72,15.72,1,92.82,4,13.2,1,1827
0,1,19.2,19.2,2,41.6,5,10.392,0,1827
3055,1,9.16,9.16,2,320.54,6,27.5,0,2557
698,0,29.86,29.86,1,31.01,4,13.15,1,1461
648,0,43.08,43.08,1,92.65,6,17.25,0,2222
0,0,44.88,44.88,1,224.51,3,30.0,1,1095
771203,0,17.45,17.45,1,138.84,5,13.85,0,1827
609,0,17.13,17.13,1,64.36,3,10.392,0,1461
0,0,17.22,17.22,1,202.09,6,10.392,0,2192
2959,1,54.07,54.07,4,442.27,4,40.0,0,1461
0,0,24.42,24.42,1,35.77,4,13.2,0,1461
0,0,11.06,11.06,1,100.77,4,11.42,0,1827
14837,0,107.4,107.4,1,39.69,6,43.0,0,2191
2308,1,26.76,26.76,2,329.92,11,19.8,0,4018
0,0,13.4,13.4,1,66.72,4,13.856,0,1827
0,0,16.92,16.92,1,19.41,4,10.392,0,1461
0,0,165.0,165.0,1,171.48,3,11.0,0,1461
1447,0,22.32,22.32,1,214.93,4,16.5,0,1545
0,0,23.4,23.4,1,113.05,4,10.392,1,1332
0,0,25.72,25.72,1,209.52,6,12.5,0,2192
4843,0,19.48,19.48,2,21.35,4,13.856,0,1484
123925,0,22.95,22.95,1,344.92,6,13.856,0,2192
469210,1,28.76,28.76,2,10.12,4,13.856,0,1827
0,0,23.76,23.76,1,90.17,6,11.5,0,2192
106463,0,15.08,15.08,1,268.36,6,10.35,0,2473
25021,0,15.12,15.12,1,131.42,5,13.2,0,2192
